video_id,label,start_frame,end_frame,toa,is_dada
1_1,0,1,29,-1,1
1_1,1,30,115,63,1
1_3,0,1,39,-1,1
1_3,1,40,120,72,1
1_4,0,1,289,-1,1
1_4,1,290,420,360,1
1_9,0,1,39,-1,1
1_9,1,40,150,93,1
1_11,0,1,420,-1,1
1_13,0,1,239,-1,1
1_13,1,240,320,269,1
1_15,0,1,164,-1,1
1_15,1,165,210,182,1
1_16,0,1,292,-1,1
1_18,0,1,79,-1,1
1_18,1,80,200,165,1
1_19,0,1,39,-1,1
1_19,1,40,160,96,1
1_20,0,1,359,-1,1
1_20,1,360,420,384,1
1_21,0,1,200,-1,1
1_24,0,1,214,-1,1
1_24,1,215,240,234,1
1_27,0,1,139,-1,1
1_27,1,140,200,159,1
1_28,0,1,104,-1,1
1_28,1,105,180,145,1
1_29,0,1,114,-1,1
1_29,1,115,190,142,1
1_30,0,1,43,-1,1
1_30,1,44,90,58,1
1_31,0,1,160,-1,1
1_31,1,161,191,171,1
1_32,0,1,174,-1,1
1_32,1,175,220,194,1
1_33,0,1,219,-1,1
1_33,1,220,270,244,1
1_34,0,1,84,-1,1
1_34,1,85,190,110,1
1_35,0,1,39,-1,1
1_35,1,40,200,138,1
1_36,0,1,276,-1,1
1_36,1,277,350,320,1
1_37,0,1,139,-1,1
1_37,1,140,180,158,1
1_38,0,1,109,-1,1
1_38,1,110,165,133,1
1_40,1,1,60,15,1
1_42,0,1,114,-1,1
1_42,1,115,210,155,1
1_43,0,1,340,-1,1
1_44,0,1,72,-1,1
1_44,1,73,160,105,1
1_45,0,1,320,-1,1
1_46,0,1,49,-1,1
1_46,1,50,170,117,1
1_47,0,1,449,-1,1
1_47,1,450,530,465,1
1_48,1,1,110,58,1
1_49,0,1,59,-1,1
1_49,1,60,120,98,1
1_50,0,1,194,-1,1
1_50,1,195,360,324,1
1_51,0,1,89,-1,1
1_51,1,90,150,114,1
1_52,0,1,55,-1,1
1_52,1,56,110,82,1
1_53,0,1,109,-1,1
1_53,1,110,180,140,1
2_1,1,1,290,240,1
2_4,0,1,49,-1,1
2_4,1,50,180,150,1
2_5,0,1,159,-1,1
2_5,1,160,250,218,1
2_6,0,1,199,-1,1
2_6,1,200,300,270,1
3_1,0,1,299,-1,1
3_1,1,300,430,404,1
3_3,0,1,34,-1,1
3_3,1,35,100,80,1
3_4,0,1,309,-1,1
3_4,1,310,390,355,1
3_5,0,1,179,-1,1
3_5,1,180,280,240,1
3_7,0,1,69,-1,1
3_7,1,70,130,100,1
3_8,0,1,324,-1,1
3_8,1,325,400,360,1
3_9,0,1,209,-1,1
3_9,1,210,260,230,1
3_10,0,1,269,-1,1
3_10,1,270,380,345,1
3_11,0,1,144,-1,1
3_11,1,145,200,170,1
3_12,0,1,144,-1,1
3_12,1,145,200,170,1
3_13,1,1,110,44,1
3_15,0,1,169,-1,1
3_15,1,170,250,215,1
3_17,0,1,134,-1,1
3_17,1,135,240,200,1
4_1,1,1,70,38,1
4_4,0,1,149,-1,1
4_4,1,150,280,224,1
4_5,0,1,399,-1,1
4_5,1,400,490,450,1
4_6,0,1,99,-1,1
4_6,1,100,216,180,1
4_7,0,1,149,-1,1
4_7,1,150,210,170,1
4_8,0,1,74,-1,1
4_8,1,75,190,140,1
4_9,0,1,69,-1,1
4_9,1,70,120,94,1
4_10,0,1,89,-1,1
4_10,1,90,190,145,1
4_11,0,1,124,-1,1
4_11,1,125,200,153,1
4_12,0,1,189,-1,1
4_12,1,190,290,253,1
4_13,0,1,259,-1,1
4_13,1,260,370,330,1
5_2,0,1,89,-1,1
5_2,1,90,220,175,1
5_3,0,1,109,-1,1
5_3,1,110,230,165,1
5_4,0,1,239,-1,1
5_4,1,240,330,265,1
5_5,0,1,189,-1,1
5_5,1,190,240,210,1
5_7,0,1,139,-1,1
5_7,1,140,270,235,1
5_8,0,1,249,-1,1
5_8,1,250,340,282,1
5_11,0,1,49,-1,1
5_11,1,50,150,100,1
5_12,0,1,389,-1,1
5_12,1,390,455,430,1
5_13,0,1,149,-1,1
5_13,1,150,250,215,1
5_14,0,1,379,-1,1
5_14,1,380,450,424,1
5_15,0,1,49,-1,1
5_15,1,50,150,75,1
5_16,0,1,129,-1,1
5_16,1,130,250,190,1
5_18,0,1,79,-1,1
5_18,1,80,190,133,1
5_19,0,1,159,-1,1
5_19,1,160,280,240,1
5_20,0,1,289,-1,1
5_20,1,290,390,350,1
5_21,0,1,79,-1,1
5_21,1,80,153,133,1
5_22,0,1,329,-1,1
5_22,1,330,460,370,1
5_23,0,1,229,-1,1
5_23,1,230,335,280,1
5_24,0,1,259,-1,1
5_24,1,260,330,290,1
5_25,0,1,189,-1,1
5_25,1,190,277,224,1
5_26,0,1,24,-1,1
5_26,1,25,130,80,1
5_30,0,1,259,-1,1
5_30,1,260,377,328,1
5_31,0,1,29,-1,1
5_31,1,30,130,80,1
5_32,0,1,209,-1,1
5_32,1,210,280,222,1
5_33,0,1,134,-1,1
5_33,1,135,200,171,1
5_34,0,1,259,-1,1
5_34,1,260,330,302,1
5_35,0,1,351,-1,1
5_35,1,352,420,396,1
5_36,0,1,195,-1,1
5_36,1,196,270,228,1
5_39,0,1,217,-1,1
5_39,1,218,300,256,1
5_40,0,1,284,-1,1
5_40,1,285,382,346,1
5_41,0,1,142,-1,1
5_41,1,143,205,163,1
5_43,0,1,415,-1,1
5_43,1,416,484,465,1
5_44,0,1,96,-1,1
5_44,1,97,179,144,1
5_46,0,1,27,-1,1
5_46,1,28,106,61,1
5_47,0,1,48,-1,1
5_47,1,49,130,73,1
5_48,0,1,217,-1,1
5_48,1,218,275,246,1
5_51,0,1,14,-1,1
5_51,1,15,140,87,1
5_54,0,1,336,-1,1
5_54,1,337,411,374,1
5_55,0,1,252,-1,1
5_55,1,253,320,282,1
5_56,0,1,341,-1,1
5_56,1,342,440,396,1
5_58,0,1,14,-1,1
5_58,1,15,115,75,1
5_61,0,1,436,-1,1
5_61,1,437,500,463,1
5_62,0,1,85,-1,1
5_62,1,86,180,142,1
5_63,0,1,375,-1,1
5_63,1,376,460,420,1
5_64,0,1,52,-1,1
5_64,1,53,120,87,1
5_68,0,1,246,-1,1
5_68,1,247,310,277,1
5_69,0,1,106,-1,1
5_69,1,107,155,134,1
